"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
0,0,0,1,14,18,5,5,8,0.5,1,25,4,30,10,15,20,15,10,0,8,9,7,7,7,7,7,5,2,7,221,14,7,52,24036,4,3,11,153,1,1,343,10,1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,5,-1,20,20,20,20,20,0,20,10,20,20,0,40,60,10,10,15,0,5,7,9,9,7,9,7,7,6,6,6,8,8,10,7,10,6,5,6,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,2,-1,-1,-1,-1,-1,-1,30,20,10,10,20,10,50,10,10,10,10,10,50,10,10,10,10,10,7,8,7,8,8,7,8,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,1,1,17,11,6,10,7,-0.02,0,23,2,28,8,17,22,17,8,0,7,10,9,9,9,7,8,10,2,11,134,14,185,47,21645,3,1,4,156,42,2,97,9,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,7,-1,30,25,10,20,0,15,40,10,10,30,0,10,40,0,20,20,20,0,7,10,9,7,7,7,8,8,10,9,7,6,7,8,8,5,6,5,-1,3,40,20,10,20,10,0,7,8,7,8,8,6,1,2,-1,-1,-1,-1,-1,-1,30,15,15,20,10,10,40,20,10,10,10,10,40,20,10,10,10,10,7,7,7,8,8,7,7,7,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,1,0,5,10,9,-1,10,0.32,1,21,2,15,15,25,25,15,5,0,6,9,7,8,7,9,9,8,2,1,73,9,1,1,0,2,1,2,153,1,3,121,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,10,40,20,20,20,-1,-1,-1,-1,-1,-1,-1,-1,40,21,10,10,10,10,8,8,8,8,8,-1,-1,-1,-1,-1,7,8,8,7,7,7,7,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,3,-1,-1,-1,-1,-1,-1,30,5,20,30,5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,7,8,7,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,1,21,22,22,22,9,-0.05,0,25,4,15,30,20,20,10,5,0,10,8,10,5,10,1,3,1,2,7,188,16,163,1,26892,2,1,2,79,180,4,22,6,1,1,9,9,9,9,1,0,8,9,8,9,10,6,8,6,6,2,-1,20,20,20,20,5,15,50,0,10,20,10,10,90,0,0,10,0,0,6,8,7,6,4,6,9,4,6,5,4,7,7,4,4,4,6,4,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,1,2,16,13,-1,15,-0.05,0,30,4,30,20,10,30,0,10,1,5,5,5,5,5,-1,5,-1,2,7,239,12,1,1,0,2,2,5,46,141,2,316,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,10,20,20,20,15,15,10,-1,-1,-1,-1,-1,-1,25,10,10,25,20,10,7,8,8,8,8,-1,-1,-1,-1,-1,2,5,5,3,5,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,10,9,1,1,3,0.65,0,25,6,20,20,20,20,10,10,1,9,10,7,9,7,7,9,9,2,7,90,10,78,42,25020,2,3,2,31,1,3,108,2,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,5,-1,15,15,20,20,20,10,20,15,10,25,10,20,25,10,10,25,10,20,6,9,9,8,9,6,9,9,9,9,3,7,7,6,9,5,5,4,0,1,15,20,20,20,15,10,6,9,8,8,8,3,1,3,-1,-1,-1,-1,-1,-1,15,20,20,20,15,10,20,20,15,20,10,15,25,10,10,25,10,20,6,9,8,8,8,6,9,8,8,8,0,1,1,1,-1,15,20,15,20,15,15,15,20,15,20,15,15,15,20,15,20,15,15,15,20,15,20,15,15,7,9,8,8,8,7,9,8,8,8
0,0,1,1,19,15,12,2,11,0.39,0,30,4,15,15,25,10,15,20,0,6,6,5,5,4,3,2,2,2,16,202,11,167,1,0,3,1,2,64,1,2,208,4,7,1,3,10,8,6,4,1,9,8,1,7,10,5,8,2,2,8,-1,20,20,20,15,10,15,30,15,15,20,10,10,10,25,25,15,15,10,7,10,8,9,9,8,10,9,8,10,6,7,8,6,8,8,6,4,0,1,8,10,8,7,8,6,7,10,8,8,9,5,1,3,25,15,20,15,20,5,15,25,20,15,15,10,15,20,20,15,20,10,15,20,20,15,20,10,6,10,8,7,9,6,7,9,6,10,0,0,0,0,-1,20,25,20,15,15,5,30,15,30,5,5,5,40,10,15,25,10,5,15,25,20,15,15,10,7,10,9,8,9,6,7,9,7,9
0,1,1,1,11,21,17,17,7,0.5,0,29,2,10,40,20,20,0,10,0,8,8,9,8,8,8,8,7,2,12,178,9,75,65,23187,4,1,3,46,196,1,350,7,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,7,-1,20,30,10,20,0,20,70,5,5,20,0,0,30,20,15,15,20,0,4,9,10,8,8,4,6,8,9,10,6,9,9,7,6,8,8,7,0,2,15,25,10,20,10,20,3,9,9,8,9,8,3,3,-1,-1,-1,-1,-1,-1,20,30,15,20,5,10,50,10,10,20,5,5,40,20,20,5,10,5,3,8,9,9,9,3,8,9,7,8,5,0,1,4,-1,10,35,10,20,5,20,20,30,20,20,5,5,50,10,5,30,0,5,25,20,20,10,20,5,4,9,10,10,9,4,9,10,10,9
0,0,0,1,19,15,10,11,11,0.65,1,23,2,25,20,15,20,5,15,1,8,8,7,8,6,7,8,7,2,8,64,9,37,63,26908,2,7,5,69,15,1,75,7,8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,7,-1,20,20,20,20,20,0,50,10,20,15,5,0,60,5,15,10,5,5,8,8,8,8,8,8,8,8,7,8,8,10,10,9,8,7,7,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,20,10,20,20,20,10,20,20,20,20,20,0,30,10,20,15,10,15,40,10,15,15,10,10,7,7,7,7,7,6,6,6,6,6,6,0,0,-1,-1,20,20,20,20,20,0,0,25,30,15,15,15,30,15,15,15,10,15,40,10,15,15,10,10,7,9,9,8,8,7,7,7,7,7
0,1,1,1,19,15,13,13,2,0.26,0,29,4,10,20,25,25,10,10,1,7,7,5,7,5,7,8,5,2,12,35,9,44,56,26062,2,6,6,88,1,1,45,7,7,7,7,9,9,9,6,9,9,6,6,9,9,9,7,6,5,6,-1,20,10,20,20,20,0,60,0,0,40,0,0,20,20,20,20,20,0,6,8,8,9,10,7,8,9,7,10,7,7,9,9,8,7,10,8,0,-1,9,9,9,9,10,5,7,8,7,7,10,6,1,3,30,10,20,20,10,10,30,10,20,20,10,10,50,0,0,50,0,0,10,20,20,20,20,10,7,8,9,8,10,7,8,9,7,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
