"","sgender.0","sgender.1","srace.0","srace.1","srace.2","srace.4","treatment","trace.1","trace.2","degree.2","degree.3","degree.5","degree.6","careerladder.1","careerladder.2","careerladder.3","careerladder.4","careerladder.5","careerladder.6","teachingexperience","score","ATE","image_file"
"1",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.261904761904762,0.639705882352941,0.0406264493983098,"7_0_0_20170110215615139.jpg"
"4",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.214285714285714,0.378676470588235,0.0406264493983098,"17_0_0_20170110231830374.jpg"
"9",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.452380952380952,0.448529411764706,0.0406264493983098,"12_1_1_20170109204024091.jpg"
"11",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.166666666666667,0.371323529411765,0.0406264493983098,"23_0_1_20170113150913751.jpg"
"12",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.166666666666667,0.216911764705882,0.0406264493983098,"31_1_1_20170116222335750.jpg"
"16",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.507352941176471,0.0406264493983098,"29_1_1_20170112235112993.jpg"
"23",0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.380952380952381,0.147058823529412,0.0406264493983098,"22_1_1_20170114030733636.jpg"
"27",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.428571428571429,0.294117647058824,0.0406264493983098,"29_1_0_20170103181425489.jpg"
"33",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0238095238095238,0.371323529411765,0.0406264493983098,"32_0_1_20170117165107803.jpg"
"34",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.69047619047619,0.408088235294118,0.0406264493983098,"10_0_0_20170110225246490.jpg"
"40",0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.341911764705882,0.0406264493983098,"26_1_0_20170116235045805.jpg"
